Bank_id,Year,Bank_name,Sector
70,2018,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2019,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
70,2020,KRUNG THAI BANK PUBLIC COMPANY LTD.,Foreign
71,2005,LAKSHMI VILAS BANK,Private
71,2006,LAKSHMI VILAS BANK,Private
71,2007,LAKSHMI VILAS BANK,Private
71,2008,LAKSHMI VILAS BANK,Private
71,2009,LAKSHMI VILAS BANK,Private
71,2010,LAKSHMI VILAS BANK,Private
71,2011,LAKSHMI VILAS BANK,Private
71,2012,LAKSHMI VILAS BANK,Private
71,2013,LAKSHMI VILAS BANK,Private
71,2014,LAKSHMI VILAS BANK,Private
71,2015,LAKSHMI VILAS BANK,Private
71,2016,LAKSHMI VILAS BANK,Private
71,2017,LAKSHMI VILAS BANK,Private
71,2018,LAKSHMI VILAS BANK,Private
71,2019,LAKSHMI VILAS BANK,Private
71,2020,LAKSHMI VILAS BANK,Private
72,2005,LORD KRISHNA BANK,Private
72,2006,LORD KRISHNA BANK,Private
72,2007,LORD KRISHNA BANK,Private
73,2005,MASHREQ BANK PSC,Foreign
73,2006,MASHREQ BANK PSC,Foreign
73,2007,MASHREQ BANK PSC,Foreign
73,2008,MASHREQ BANK PSC,Foreign
73,2009,MASHREQ BANK PSC,Foreign
73,2010,MASHREQ BANK PSC,Foreign
73,2011,MASHREQ BANK PSC,Foreign
73,2012,MASHREQ BANK PSC,Foreign
73,2013,MASHREQ BANK PSC,Foreign
73,2014,MASHREQ BANK PSC,Foreign
73,2015,MASHREQ BANK PSC,Foreign
73,2016,MASHREQ BANK PSC,Foreign
73,2017,MASHREQ BANK PSC,Foreign
73,2018,MASHREQ BANK PSC,Foreign
73,2019,MASHREQ BANK PSC,Foreign
73,2020,MASHREQ BANK PSC,Foreign
74,2005,MIZUHO BANK LTD,Foreign
74,2006,MIZUHO BANK LTD,Foreign
74,2007,MIZUHO BANK LTD,Foreign
74,2008,MIZUHO BANK LTD,Foreign
74,2009,MIZUHO BANK LTD,Foreign
74,2010,MIZUHO BANK LTD,Foreign
74,2011,MIZUHO BANK LTD,Foreign
74,2012,MIZUHO BANK LTD,Foreign
74,2013,MIZUHO BANK LTD,Foreign
74,2014,MIZUHO BANK LTD,Foreign
